market,tea_type,response_no,verbatim,theme,sentiment,persona
UK,Cold brew black tea,85,I just prefer my usual tea,Habit / preference,Negative,Curious Explorer
UK,Green tea (pure),86,The taste is too bitter for me,Taste / flavour,Positive,Traditional Drinker
US,"Origin black tea (e.g. Assam, Darjeeling)",87,Want something caffeine-free,Caffeine concerns,Negative,Convenience Buyer
UK,Chamomile tea,88,Mouthfeel is strange,Texture / mouthfeel,Positive,Price-Conscious Rejecter
CA,"Origin black tea (e.g. Assam, Darjeeling)",89,Never been introduced to it properly,Unfamiliarity,Negative,Convenience Buyer
US,"Fruit tea (e.g. berry, peach)",90,Too strong a flavour for my liking,Taste / flavour,Neutral,Functional Benefit Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",91,I don't like the texture,Texture / mouthfeel,Negative,Traditional Drinker
CA,Regular / everyday black tea,92,I just prefer my usual tea,Habit / preference,Negative,Convenience Buyer
UK,Peppermint tea,93,I've never really tried it,Unfamiliarity,Negative,Convenience Buyer
UK,Other herbal tea,94,I find it bland and watery,Taste / flavour,Negative,Traditional Drinker
UK,Rooibos / red tea,95,Hard to find in my local shop,Availability,Negative,Wellness Seeker
CA,"Fruit tea (e.g. berry, peach)",96,Cheaper options do the same job,Price / value,Negative,Curious Explorer
UK,Other tea (e.g. white tea),97,Don't want to pay more for it,Price / value,Negative,Price-Conscious Rejecter
US,Chai tea,98,Rarely see it on the shelf,Availability,Negative,Price-Conscious Rejecter
UK,English Breakfast / extra-strong black tea,99,I just prefer my usual tea,Habit / preference,Negative,Wellness Seeker
UK,Other herbal tea,100,Don't want to pay more for it,Price / value,Negative,Convenience Buyer
UK,Rooibos / red tea,101,I avoid caffeine for health reasons,Caffeine concerns,Neutral,Price-Conscious Rejecter
CA,Other cold brew tea,102,Don't want to pay more for it,Price / value,Negative,Curious Explorer
UK,Peppermint tea,103,Not sure of the right water temperature,Brewing complexity,Negative,Functional Benefit Seeker
UK,Green tea flavoured (e.g. lemon),104,I drink it for wellness reasons,Health perception,Negative,Wellness Seeker
US,Green tea flavoured (e.g. lemon),105,Just doesn't taste nice,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Cold brew black tea,106,I've never really tried it,Unfamiliarity,Negative,Functional Benefit Seeker
US,Other herbal tea,107,Too much caffeine for the evening,Caffeine concerns,Negative,Functional Benefit Seeker
UK,Bubble tea,108,Too strong a flavour for my liking,Taste / flavour,Neutral,Traditional Drinker
UK,Green tea (pure),109,I wouldn't know where to start with it,Unfamiliarity,Negative,Functional Benefit Seeker
UK,Green tea flavoured (e.g. lemon),110,I wouldn't know where to start with it,Unfamiliarity,Positive,Curious Explorer
UK,Other cold brew tea,111,Mouthfeel is strange,Texture / mouthfeel,Negative,Price-Conscious Rejecter
US,Chai tea,112,I stick to what I know,Habit / preference,Negative,Wellness Seeker
US,Cold brew green tea,113,Drinking hot tea is my habit,Habit / preference,Negative,Functional Benefit Seeker
US,Green tea decaffeinated,114,Not part of my routine,Habit / preference,Neutral,Traditional Drinker
CA,Instant tea powder,115,Premium pricing puts me off,Price / value,Negative,Functional Benefit Seeker
CA,Chai tea,116,Never been introduced to it properly,Unfamiliarity,Negative,Convenience Buyer
UK,Instant tea powder,117,Not familiar with how to drink it,Unfamiliarity,Neutral,Traditional Drinker
UK,Rooibos / red tea,118,Too much caffeine for the evening,Caffeine concerns,Negative,Functional Benefit Seeker
CA,Cold brew green tea,119,Can't get it easily,Availability,Negative,Functional Benefit Seeker
US,Other herbal tea,120,Never been introduced to it properly,Unfamiliarity,Negative,Convenience Buyer
UK,Regular / everyday black tea,121,Can't get it easily,Availability,Negative,Convenience Buyer
UK,Instant tea powder,122,Not worth the extra cost,Price / value,Negative,Price-Conscious Rejecter
US,"Origin black tea (e.g. Assam, Darjeeling)",123,Just doesn't taste nice,Taste / flavour,Negative,Wellness Seeker
UK,Rooibos / red tea,124,Not familiar with how to drink it,Unfamiliarity,Negative,Curious Explorer
US,"Benefit / functional tea (sleep, detox, immunity)",125,Caffeine keeps me awake at night,Caffeine concerns,Negative,Wellness Seeker
US,Regular / everyday black tea,126,It feels gritty,Texture / mouthfeel,Neutral,Traditional Drinker
US,Chai tea,127,I avoid caffeine for health reasons,Caffeine concerns,Negative,Wellness Seeker
US,Cold brew green tea,128,Too fiddly compared to a teabag,Brewing complexity,Negative,Convenience Buyer
CA,Other tea (e.g. white tea),129,Not part of my routine,Habit / preference,Neutral,Wellness Seeker
US,Other tea (e.g. white tea),130,Looking for healthier alternatives,Health perception,Negative,Convenience Buyer
UK,Cold brew green tea,131,Cheaper options do the same job,Price / value,Negative,Functional Benefit Seeker
UK,Chai tea,132,I wouldn't know where to start with it,Unfamiliarity,Negative,Curious Explorer
US,"Benefit / functional tea (sleep, detox, immunity)",133,The aftertaste puts me off,Taste / flavour,Negative,Price-Conscious Rejecter
US,Other herbal tea,134,Premium pricing puts me off,Price / value,Negative,Wellness Seeker
CA,Green tea flavoured (e.g. lemon),135,C'est trop cher,Price / value,Negative,Curious Explorer
CA,Bubble tea,136,Too strong a flavour for my liking,Taste / flavour,Negative,Curious Explorer
CA,Flavoured black tea (e.g. Earl Grey),137,Already happy with my regular brew,Habit / preference,Negative,Traditional Drinker
US,Rooibos / red tea,138,Caffeine keeps me awake at night,Caffeine concerns,Neutral,Curious Explorer
UK,Green tea decaffeinated,139,Takes too long to make,Brewing complexity,Negative,Convenience Buyer
CA,Matcha tea,140,Want something caffeine-free,Caffeine concerns,Negative,Functional Benefit Seeker
UK,Chamomile tea,141,Not worth the extra cost,Price / value,Negative,Wellness Seeker
CA,English Breakfast / extra-strong black tea,142,Already happy with my regular brew,Habit / preference,Negative,Convenience Buyer
US,"Origin black tea (e.g. Assam, Darjeeling)",143,Not familiar with how to drink it,Unfamiliarity,Negative,Wellness Seeker
UK,English Breakfast / extra-strong black tea,144,I avoid caffeine for health reasons,Caffeine concerns,Negative,Convenience Buyer
CA,"Origin black tea (e.g. Assam, Darjeeling)",145,Not convinced by the health claims,Health perception,Negative,Wellness Seeker
UK,Other cold brew tea,146,Hard to find in my local shop,Availability,Negative,Wellness Seeker
CA,Green tea flavoured (e.g. lemon),147,I drink it for wellness reasons,Health perception,Negative,Price-Conscious Rejecter
CA,Green tea flavoured (e.g. lemon),148,Not sure of the right water temperature,Brewing complexity,Negative,Curious Explorer
US,Peppermint tea,149,The aftertaste puts me off,Taste / flavour,Neutral,Curious Explorer
UK,Bubble tea,150,The aftertaste puts me off,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Rooibos / red tea,151,I just prefer my usual tea,Habit / preference,Negative,Price-Conscious Rejecter
CA,Peppermint tea,152,Don't know much about this type,Unfamiliarity,Positive,Wellness Seeker
US,English Breakfast / extra-strong black tea,153,Premium pricing puts me off,Price / value,Negative,Price-Conscious Rejecter
CA,Other herbal tea,154,I just prefer my usual tea,Habit / preference,Negative,Convenience Buyer
CA,Instant tea powder,155,Too much caffeine for the evening,Caffeine concerns,Neutral,Price-Conscious Rejecter
UK,Other cold brew tea,156,Too fiddly compared to a teabag,Brewing complexity,Negative,Convenience Buyer
US,Instant tea powder,157,Just doesn't taste nice,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Regular / everyday black tea,158,Looking for healthier alternatives,Health perception,Negative,Convenience Buyer
US,Cold brew black tea,159,Too much caffeine for the evening,Caffeine concerns,Positive,Wellness Seeker
US,Lemon / ginger tea,160,Don't want to pay more for it,Price / value,Negative,Wellness Seeker
UK,Cold brew black tea,161,Rarely see it on the shelf,Availability,Negative,Convenience Buyer
UK,Chamomile tea,162,Too strong a flavour for my liking,Taste / flavour,Neutral,Traditional Drinker
CA,"Fruit tea (e.g. berry, peach)",163,Already happy with my regular brew,Habit / preference,Negative,Price-Conscious Rejecter
CA,Instant tea powder,164,Too strong a flavour for my liking,Taste / flavour,Neutral,Curious Explorer
US,Cold brew green tea,165,Premium pricing puts me off,Price / value,Neutral,Convenience Buyer
US,Matcha tea,166,Not part of my routine,Habit / preference,Negative,Curious Explorer
UK,Green tea flavoured (e.g. lemon),167,It's too expensive for what it is,Price / value,Neutral,Functional Benefit Seeker
CA,Matcha tea,168,Too strong a flavour for my liking,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Other tea (e.g. white tea),169,Je n'aime pas le goût,Taste / flavour,Neutral,Price-Conscious Rejecter
US,"Fruit tea (e.g. berry, peach)",170,Don't know much about this type,Unfamiliarity,Neutral,Price-Conscious Rejecter
CA,Rooibos / red tea,171,Not part of my routine,Habit / preference,Neutral,Convenience Buyer
CA,Other herbal tea,172,The aftertaste puts me off,Taste / flavour,Negative,Price-Conscious Rejecter
US,Cold brew fruit and herbal tea,173,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
CA,Lemon / ginger tea,174,The aftertaste puts me off,Taste / flavour,Neutral,Price-Conscious Rejecter
CA,Rooibos / red tea,175,I don't like the grassy flavour,Taste / flavour,Positive,Curious Explorer
UK,Lemon / ginger tea,176,Caffeine keeps me awake at night,Caffeine concerns,Negative,Curious Explorer
US,Peppermint tea,177,Flavour is too earthy,Taste / flavour,Negative,Wellness Seeker
US,Decaffeinated black tea,178,I don't like the texture,Texture / mouthfeel,Negative,Wellness Seeker
UK,Instant tea powder,179,I just prefer my usual tea,Habit / preference,Neutral,Price-Conscious Rejecter
US,Decaffeinated black tea,180,Just doesn't taste nice,Taste / flavour,Negative,Functional Benefit Seeker
US,Chai tea,181,The taste is too bitter for me,Taste / flavour,Negative,Functional Benefit Seeker
UK,Peppermint tea,182,I wouldn't know where to start with it,Unfamiliarity,Positive,Wellness Seeker
US,Cold brew fruit and herbal tea,183,Not familiar with how to drink it,Unfamiliarity,Neutral,Functional Benefit Seeker
CA,Decaffeinated black tea,184,I've never really tried it,Unfamiliarity,Positive,Price-Conscious Rejecter
UK,Matcha tea,185,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,English Breakfast / extra-strong black tea,186,Already happy with my regular brew,Habit / preference,Negative,Convenience Buyer
CA,"Fruit tea (e.g. berry, peach)",187,Not convinced by the health claims,Health perception,Negative,Traditional Drinker
UK,Green tea flavoured (e.g. lemon),188,Too strong a flavour for my liking,Taste / flavour,Negative,Traditional Drinker
UK,Other tea (e.g. white tea),189,I wouldn't know where to start with it,Unfamiliarity,Negative,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",190,Premium pricing puts me off,Price / value,Positive,Traditional Drinker
CA,Cold brew green tea,191,Premium pricing puts me off,Price / value,Negative,Price-Conscious Rejecter
US,Rooibos / red tea,192,I don't think it's actually that healthy,Health perception,Negative,Convenience Buyer
US,Regular / everyday black tea,193,I don't like the grassy flavour,Taste / flavour,Negative,Traditional Drinker
US,Peppermint tea,194,Already happy with my regular brew,Habit / preference,Negative,Convenience Buyer
CA,English Breakfast / extra-strong black tea,195,Je préfère le thé chaud,Habit / preference,Negative,Price-Conscious Rejecter
US,Other cold brew tea,196,The aftertaste puts me off,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Green tea flavoured (e.g. lemon),197,Prefer options with proven benefits,Health perception,Negative,Price-Conscious Rejecter
CA,Bubble tea,198,Just doesn't taste nice,Taste / flavour,Negative,Wellness Seeker
US,Cold brew fruit and herbal tea,199,Rarely see it on the shelf,Availability,Negative,Price-Conscious Rejecter
US,Lemon / ginger tea,200,Too strong a flavour for my liking,Taste / flavour,Neutral,Curious Explorer
UK,Chai tea,201,Too watery for me,Texture / mouthfeel,Negative,Functional Benefit Seeker
UK,Decaffeinated black tea,202,Don't know much about this type,Unfamiliarity,Negative,Convenience Buyer
UK,Chai tea,203,Rarely see it on the shelf,Availability,Negative,Functional Benefit Seeker
US,Green tea decaffeinated,204,Not familiar with how to drink it,Unfamiliarity,Negative,Wellness Seeker
UK,Cold brew green tea,205,Not part of my routine,Habit / preference,Neutral,Curious Explorer
UK,"Origin black tea (e.g. Assam, Darjeeling)",206,I find it bland and watery,Taste / flavour,Negative,Convenience Buyer
UK,Decaffeinated black tea,207,I wouldn't know where to start with it,Unfamiliarity,Neutral,Functional Benefit Seeker
US,"Fruit tea (e.g. berry, peach)",208,Flavour is too earthy,Taste / flavour,Positive,Functional Benefit Seeker
US,Green tea flavoured (e.g. lemon),209,Want something caffeine-free,Caffeine concerns,Negative,Curious Explorer
UK,Other tea (e.g. white tea),210,I don't like the texture,Texture / mouthfeel,Negative,Wellness Seeker
UK,Cold brew green tea,211,The taste is too bitter for me,Taste / flavour,Negative,Price-Conscious Rejecter
US,Peppermint tea,212,Too much caffeine for the evening,Caffeine concerns,Positive,Functional Benefit Seeker
US,Regular / everyday black tea,213,Don't know much about this type,Unfamiliarity,Positive,Wellness Seeker
CA,Regular / everyday black tea,214,Not sure of the right water temperature,Brewing complexity,Negative,Functional Benefit Seeker
CA,Chai tea,215,Not sure of the right water temperature,Brewing complexity,Negative,Convenience Buyer
UK,Flavoured black tea (e.g. Earl Grey),216,The taste is too bitter for me,Taste / flavour,Negative,Wellness Seeker
CA,"Benefit / functional tea (sleep, detox, immunity)",217,Hard to find in my local shop,Availability,Neutral,Functional Benefit Seeker
UK,Other herbal tea,218,I wouldn't know where to start with it,Unfamiliarity,Negative,Price-Conscious Rejecter
US,Regular / everyday black tea,219,Just doesn't taste nice,Taste / flavour,Negative,Curious Explorer
US,Green tea decaffeinated,220,Flavour is too earthy,Taste / flavour,Negative,Traditional Drinker
UK,Cold brew green tea,221,Too watery for me,Texture / mouthfeel,Negative,Traditional Drinker
US,"Benefit / functional tea (sleep, detox, immunity)",222,Too much effort to prepare properly,Brewing complexity,Neutral,Traditional Drinker
UK,Matcha tea,223,The taste is too bitter for me,Taste / flavour,Positive,Curious Explorer
CA,English Breakfast / extra-strong black tea,224,Flavour is too earthy,Taste / flavour,Negative,Wellness Seeker
CA,English Breakfast / extra-strong black tea,225,Caffeine keeps me awake at night,Caffeine concerns,Negative,Functional Benefit Seeker
US,Green tea (pure),226,The aftertaste puts me off,Taste / flavour,Neutral,Curious Explorer
UK,Chai tea,227,The aftertaste puts me off,Taste / flavour,Negative,Curious Explorer
CA,"Fruit tea (e.g. berry, peach)",228,I avoid caffeine for health reasons,Caffeine concerns,Negative,Curious Explorer
US,"Origin black tea (e.g. Assam, Darjeeling)",229,Not sure of the right water temperature,Brewing complexity,Negative,Price-Conscious Rejecter
UK,Rooibos / red tea,230,Not part of my routine,Habit / preference,Negative,Functional Benefit Seeker
US,Green tea (pure),231,Never been introduced to it properly,Unfamiliarity,Neutral,Wellness Seeker
US,Flavoured black tea (e.g. Earl Grey),232,Not familiar with how to drink it,Unfamiliarity,Negative,Wellness Seeker
US,Peppermint tea,233,Drinking hot tea is my habit,Habit / preference,Negative,Functional Benefit Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",234,I'm trying to cut down on caffeine,Caffeine concerns,Positive,Functional Benefit Seeker
US,Decaffeinated black tea,235,I've never really tried it,Unfamiliarity,Negative,Price-Conscious Rejecter
CA,"Fruit tea (e.g. berry, peach)",236,Trop amer pour moi,Taste / flavour,Negative,Wellness Seeker
US,Other cold brew tea,237,I don't like the texture,Texture / mouthfeel,Negative,Curious Explorer
UK,Peppermint tea,238,Hard to find in my local shop,Availability,Negative,Curious Explorer
UK,Cold brew fruit and herbal tea,239,Too much effort to prepare properly,Brewing complexity,Negative,Wellness Seeker
CA,Other cold brew tea,240,Premium pricing puts me off,Price / value,Negative,Traditional Drinker
CA,Peppermint tea,241,I just prefer my usual tea,Habit / preference,Negative,Curious Explorer
US,Green tea decaffeinated,242,Too much caffeine for the evening,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,Instant tea powder,243,Flavour is too earthy,Taste / flavour,Negative,Curious Explorer
CA,Green tea (pure),244,Flavour is too earthy,Taste / flavour,Neutral,Price-Conscious Rejecter
US,Green tea (pure),245,The taste is too bitter for me,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Chamomile tea,246,I don't like the grassy flavour,Taste / flavour,Negative,Convenience Buyer
US,Other cold brew tea,247,Don't know much about this type,Unfamiliarity,Negative,Convenience Buyer
US,Lemon / ginger tea,248,I'm never sure how long to brew it,Brewing complexity,Negative,Convenience Buyer
UK,Green tea flavoured (e.g. lemon),249,Not sure of the right water temperature,Brewing complexity,Negative,Curious Explorer
US,Peppermint tea,250,Rarely see it on the shelf,Availability,Neutral,Traditional Drinker
UK,Green tea (pure),251,Want something caffeine-free,Caffeine concerns,Negative,Convenience Buyer
US,Chai tea,252,Don't know much about this type,Unfamiliarity,Negative,Functional Benefit Seeker
UK,Green tea (pure),253,Takes too long to make,Brewing complexity,Negative,Wellness Seeker
UK,Chai tea,254,Caffeine keeps me awake at night,Caffeine concerns,Negative,Functional Benefit Seeker
US,"Fruit tea (e.g. berry, peach)",255,I find it bland and watery,Taste / flavour,Negative,Traditional Drinker
CA,Lemon / ginger tea,256,I don't like the grassy flavour,Taste / flavour,Negative,Convenience Buyer
US,Flavoured black tea (e.g. Earl Grey),257,Too much effort to prepare properly,Brewing complexity,Neutral,Functional Benefit Seeker
CA,Cold brew green tea,258,I avoid caffeine for health reasons,Caffeine concerns,Negative,Price-Conscious Rejecter
US,Peppermint tea,259,I drink it for wellness reasons,Health perception,Negative,Price-Conscious Rejecter
UK,Instant tea powder,260,I stick to what I know,Habit / preference,Negative,Functional Benefit Seeker
CA,Rooibos / red tea,261,The bubbles put me off,Texture / mouthfeel,Negative,Functional Benefit Seeker
UK,Flavoured black tea (e.g. Earl Grey),262,I find it bland and watery,Taste / flavour,Neutral,Curious Explorer
UK,Flavoured black tea (e.g. Earl Grey),263,Drinking hot tea is my habit,Habit / preference,Negative,Curious Explorer
UK,"Benefit / functional tea (sleep, detox, immunity)",264,Want something caffeine-free,Caffeine concerns,Neutral,Convenience Buyer
UK,Lemon / ginger tea,265,Too strong a flavour for my liking,Taste / flavour,Negative,Price-Conscious Rejecter
UK,Peppermint tea,266,I wouldn't know where to start with it,Unfamiliarity,Negative,Functional Benefit Seeker
CA,Chai tea,267,Don't want to pay more for it,Price / value,Negative,Functional Benefit Seeker
US,Rooibos / red tea,268,Too much caffeine for the evening,Caffeine concerns,Negative,Traditional Drinker
UK,Chamomile tea,269,I don't like the texture,Texture / mouthfeel,Negative,Functional Benefit Seeker
US,Cold brew fruit and herbal tea,270,I don't think it's actually that healthy,Health perception,Negative,Curious Explorer
CA,Other tea (e.g. white tea),271,Don't know much about this type,Unfamiliarity,Negative,Price-Conscious Rejecter
CA,English Breakfast / extra-strong black tea,272,Just doesn't taste nice,Taste / flavour,Neutral,Price-Conscious Rejecter
US,Peppermint tea,273,Not part of my routine,Habit / preference,Neutral,Traditional Drinker
CA,"Origin black tea (e.g. Assam, Darjeeling)",274,Not sure of the right water temperature,Brewing complexity,Negative,Wellness Seeker
US,Decaffeinated black tea,275,I avoid caffeine for health reasons,Caffeine concerns,Negative,Convenience Buyer
UK,Other tea (e.g. white tea),276,I'm never sure how long to brew it,Brewing complexity,Neutral,Convenience Buyer
CA,Other herbal tea,277,The taste is too bitter for me,Taste / flavour,Neutral,Price-Conscious Rejecter
UK,Chai tea,278,Takes too long to make,Brewing complexity,Negative,Price-Conscious Rejecter
US,Matcha tea,279,Already happy with my regular brew,Habit / preference,Negative,Price-Conscious Rejecter
CA,Chamomile tea,280,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,Other cold brew tea,281,I always get the brewing wrong,Brewing complexity,Neutral,Curious Explorer
CA,Decaffeinated black tea,282,The taste is too bitter for me,Taste / flavour,Neutral,Wellness Seeker
